Nom Officiel Région;Libellé du département;Revenu
Normandie;Manche;25,041
Bretagne;Côtes-d'Armor;25,144
Bretagne;Finistère;26,038
Bretagne;Morbihan;26,395
Normandie;Calvados;26,201
Centre-Val de Loire;Loir-et-Cher;25,275
Île-de-France;Paris;47,695
Bourgogne-Franche-Comté;Nièvre;22,091
Normandie;Orne;22,804
Centre-Val de Loire;Indre;22,186
Hauts-de-France;Pas-de-Calais;22,572
Bourgogne-Franche-Comté;Saône-et-Loire;24,868
Centre-Val de Loire;Indre-et-Loire;26,597
Hauts-de-France;Somme;23,772
Grand Est;Meuse;23,490
Centre-Val de Loire;Cher;23,745
Grand Est;Haute-Marne;22,705
Normandie;Seine-Maritime;25,404
Grand Est;Vosges;23,398
Normandie;Eure;25,612
Bretagne;Ille-et-Vilaine;28,102
Centre-Val de Loire;Eure-et-Loir;26,608
Grand Est;Ardennes;22,227
Bourgogne-Franche-Comté;Yonne;23,883
Hauts-de-France;Aisne;22,513
Bourgogne-Franche-Comté;Haute-Saône;23,563
Grand Est;Marne;27,283
Bourgogne-Franche-Comté;Côte-d'Or;27,964
Île-de-France;Yvelines;40,347
Centre-Val de Loire;Loiret;26,782
Grand Est;Bas-Rhin;28,421
Bourgogne-Franche-Comté;Jura;25,880
Grand Est;Meurthe-et-Moselle;25,696
Île-de-France;Hauts-de-Seine;45,141
Grand Est;Moselle;26,141
Hauts-de-France;Nord;24,628
Grand Est;Aube;24,388
Hauts-de-France;Oise;27,056
Bourgogne-Franche-Comté;Territoire de Belfort;26,971
Île-de-France;Essonne;30,974
Île-de-France;Seine-et-Marne;29,278
Bourgogne-Franche-Comté;Doubs;28,238
Grand Est;Haut-Rhin;30,716
Île-de-France;Val-de-Marne;30,973
Île-de-France;Val-d'Oise;28,184
Île-de-France;Seine-Saint-Denis;21,565
